,doy,lake,year,depth_type,value
1,149,Reference,Ambient (2018),Thermocline,1
2,149,Reference,Ambient (2018),1% Light,5.964562943
3,149,Reference,Ambient (2018),Anoxia,5.5
4,156,Reference,Ambient (2018),Thermocline,1.5
5,156,Reference,Ambient (2018),1% Light,6.267929173
6,156,Reference,Ambient (2018),Anoxia,6
7,163,Reference,Ambient (2018),Thermocline,2
8,163,Reference,Ambient (2018),1% Light,6.610361784
9,163,Reference,Ambient (2018),Anoxia,6.5
10,170,Reference,Ambient (2018),Thermocline,1.5
11,170,Reference,Ambient (2018),1% Light,6.2765
12,170,Reference,Ambient (2018),Anoxia,6.5
13,177,Reference,Ambient (2018),Thermocline,2
14,177,Reference,Ambient (2018),1% Light,6.498677435
15,177,Reference,Ambient (2018),Anoxia,7
16,184,Reference,Ambient (2018),Thermocline,2
17,184,Reference,Ambient (2018),1% Light,5.944280169
18,184,Reference,Ambient (2018),Anoxia,6.5
19,191,Reference,Ambient (2018),Thermocline,2
20,191,Reference,Ambient (2018),1% Light,5.95718292
21,191,Reference,Ambient (2018),Anoxia,6.5
22,198,Reference,Ambient (2018),Thermocline,2
23,198,Reference,Ambient (2018),1% Light,5.966865134
24,198,Reference,Ambient (2018),Anoxia,6.5
25,205,Reference,Ambient (2018),Thermocline,2.5
26,205,Reference,Ambient (2018),1% Light,5.943314396
27,205,Reference,Ambient (2018),Anoxia,6.5
28,212,Reference,Ambient (2018),Thermocline,2.5
29,212,Reference,Ambient (2018),1% Light,6.170993126
30,212,Reference,Ambient (2018),Anoxia,6.5
31,219,Reference,Ambient (2018),Thermocline,2.5
32,219,Reference,Ambient (2018),1% Light,5.879634255
33,219,Reference,Ambient (2018),Anoxia,6
34,226,Reference,Ambient (2018),Thermocline,3
35,226,Reference,Ambient (2018),1% Light,6.221303588
36,226,Reference,Ambient (2018),Anoxia,6
37,233,Reference,Ambient (2018),Thermocline,2.5
38,233,Reference,Ambient (2018),1% Light,6.665784792
39,233,Reference,Ambient (2018),Anoxia,6
40,148,Manipulated,Ambient (2018),Thermocline,1
41,148,Manipulated,Ambient (2018),1% Light,4.941303058
42,148,Manipulated,Ambient (2018),Anoxia,5
43,155,Manipulated,Ambient (2018),Thermocline,1.5
44,155,Manipulated,Ambient (2018),1% Light,4.909878689
45,155,Manipulated,Ambient (2018),Anoxia,5.5
46,162,Manipulated,Ambient (2018),Thermocline,1.5
47,162,Manipulated,Ambient (2018),1% Light,5.192240371
48,162,Manipulated,Ambient (2018),Anoxia,5.5
49,169,Manipulated,Ambient (2018),Thermocline,2
