,lake,year,date,depth,meanCH4,meanCO2,meanN2O,do_mgl,temp,doy,light,notes,manual_chl,surface_bga
348,Peter,2019,5/15/2019,0,0.48,27.14,NA,9.97,14.9,135,0.79,,,
349,Peter,2019,5/15/2019,3.5,0.31,36.3,NA,13.2,5.9,135,0.04,,,
350,Peter,2019,5/15/2019,6,0.31,199.4,NA,0.42,4.6,135,0.002,,,
351,Peter,2019,5/15/2019,9,12.72,246.1,NA,0.05,4.3,135,0,,,
73,Paul,2019,5/15/2019,0,0.99,46.41,NA,9.93,13.75,135,0.86,,,
352,Peter,2019,5/15/2019,11,160.16,341.98,NA,0.05,4.5,135,0,,,
353,Peter,2019,5/15/2019,13,177.72,321.6,NA,0.04,4.5,135,0,,,
354,Peter,2019,5/15/2019,15,254.32,354.83,NA,0.04,4.6,135,0,,,
74,Paul,2019,5/15/2019,3.5,0.73,45.07,NA,12.9,7,135,0.18,,,
75,Paul,2019,5/15/2019,5,0.44,22.14,NA,6.46,5.5,135,0.04,,,
276,Peter,2018,6/13/2018,0,0.62,29.27,NA,7.6,21.1,164,0.79,,142.3310712,2.826036133
277,Peter,2018,6/13/2018,3.5,0.39,10.07,NA,12.5,9.7,164,0.06,,142.3310712,2.826036133
355,Peter,2019,5/15/2019,16,246.97,368.96,NA,0.03,4.6,135,0,,,
356,Peter,2019,5/22/2019,0,0.74,35.05,NA,9.65,12.6,142,0.74,,,
357,Peter,2019,5/22/2019,3.5,0.71,37.39,NA,13.2,6.4,142,0.03,,,
1,Paul,2018,6/13/2018,0,1.07,41.03,NA,7.1,22.2,164,0.83,,194.0423522,1.639966758
76,Paul,2019,5/15/2019,6,0.32,88.44,NA,0.32,5,135,0.007,,,
278,Peter,2018,6/13/2018,6,0.51,197.62,NA,0.4,4.8,164,0.0049,,142.3310712,2.826036133
279,Peter,2018,6/13/2018,9,12.44,268.23,NA,0.07,4.4,164,0,,,
358,Peter,2019,5/22/2019,6,0.51,147.82,NA,0.54,4.7,142,0.0019,,,
359,Peter,2019,5/22/2019,9,55.76,303.58,NA,0.03,4.4,142,0,,,
2,Paul,2018,6/13/2018,2.5,0.93,63.69,NA,8.6,18,164,0.16,,194.0423522,1.639966758
77,Paul,2019,5/15/2019,8,1.97,151.36,NA,0.06,4.8,135,0.0023,,,
280,Peter,2018,6/13/2018,11,88.47,353.42,NA,0.1,4.4,164,0,,,
281,Peter,2018,6/13/2018,13,321.35,495.49,NA,0.1,4.4,164,0,,,
282,Peter,2018,6/13/2018,15,543.47,507.7,NA,0.1,4.5,164,0,,,
283,Peter,2018,6/13/2018,16,593.12,523.19,NA,0.1,4.5,164,0,,,
360,Peter,2019,5/22/2019,11,109.25,335.85,NA,0.04,4.4,142,0,,,
361,Peter,2019,5/22/2019,13,239.08,399.38,NA,0.03,4.5,142,0,,,
3,Paul,2018,6/13/2018,4.5,0.53,116.28,NA,6.4,8.3,164,0.05,,194.0423522,1.639966758
4,Paul,2018,6/13/2018,6.5,3.84,220.42,NA,0.3,5.4,164,0.011,,194.0423522,1.639966758
5,Paul,2018,6/13/2018,8,119.76,359.86,NA,0.1,4.9,164,0.0038,,194.0423522,1.639966758
78,Paul,2019,5/15/2019,9,57.32,390.31,NA,0.07,4.8,135,0.0011,,,
79,Paul,2019,5/15/2019,10,92.33,391.7,NA,0.04,4.8,135,0,,,
80,Paul,2019,5/15/2019,11.5,114,445.27,NA,0.1,4.8,135,0,,,
284,Peter,2018,6/20/2018,0,1.08,23.55,NA,7.7,22.5,171,0.8,,3.55,198.88
285,Peter,2018,6/20/2018,3.5,0.35,15.43,NA,12.28,11.5,171,0.05,,3.55,198.88
286,Peter,2018,6/20/2018,6,0.47,236.67,NA,0.3,5,171,0.0038,,3.55,198.88
287,Peter,2018,6/20/2018,9,23.65,293.48,NA,0.07,4.6,171,0,replaced with single rep,,
288,Peter,2018,6/20/2018,11,76.83,319.04,NA,0.1,4.4,171,0,replaced with single rep,,
289,Peter,2018,6/20/2018,13,316.4,444.2,NA,0.1,4.4,171,0,"bad reps, replaced with higher value",,
290,Peter,2018,6/20/2018,15,347.22,421.84,NA,0.1,4.5,171,0,"bad reps, replaced with higher value",,
291,Peter,2018,6/20/2018,16,579.91,630.02,NA,0.1,4.5,171,0,replaced with single rep,,
292,Peter,2018,6/27/2018,0,1.5,26.13,NA,6.85,23.1,178,0.84,,1.85,149.94
293,Peter,2018,6/27/2018,3.5,1.02,17.69,NA,12.32,11.8,178,0.04,,1.85,149.94
294,Peter,2018,6/27/2018,6,0.75,136.98,NA,0.3,5.1,178,0.0046,,1.85,149.94
295,Peter,2018,6/27/2018,9,37.38,304.07,NA,0.07,4.6,178,0,,,
296,Peter,2018,6/27/2018,11,136.07,346.11,NA,0.1,4.4,178,0,,,
297,Peter,2018,6/27/2018,13,436.16,468.33,NA,0.1,4.5,178,0,,,
362,Peter,2019,5/22/2019,15,403.99,467.04,NA,0.02,4.6,142,0,,,
363,Peter,2019,5/22/2019,16,404.35,455.9,NA,0.02,4.6,142,0,,,
6,Paul,2018,6/13/2018,9,133.43,350.51,NA,0.07,4.8,164,0.0019,,,
7,Paul,2018,6/13/2018,10,196.7,324.33,NA,0.1,4.8,164,0,,,
8,Paul,2018,6/13/2018,11.5,253.94,361.92,NA,0.1,4.8,164,0,,,
9,Paul,2018,6/20/2018,0,2,54.53,NA,7.16,22.6,171,0.83,,2.40,278.36
10,Paul,2018,6/20/2018,2.5,1.38,48.44,NA,8.11,19.4,171,0.15,,2.40,278.36
11,Paul,2018,6/20/2018,4.5,0.85,83.78,NA,7.53,9.1,171,0.04,,2.40,278.36
298,Peter,2018,6/27/2018,15,583.24,556.89,NA,0.1,4.5,178,0,,,
299,Peter,2018,6/27/2018,16,559.9,522.8,NA,0.1,4.5,178,0,,,
300,Peter,2018,7/4/2018,0,1.54,28.17,NA,6.65,25.7,185,0.75,,313.9764526,2.189452182
301,Peter,2018,7/4/2018,3.5,0.82,44.75,NA,11,13.1,185,0.03,,313.9764526,2.189452182
302,Peter,2018,7/4/2018,6,1.12,281.69,NA,0.19,5.4,185,0.0033,,313.9764526,2.189452182
303,Peter,2018,7/4/2018,9,51.67,375.05,NA,0.07,4.7,185,0,,,
364,Peter,2019,5/29/2019,0,0.59,29.98,NA,8.85,15.7,149,0.74,,2.408659969,526.8648779
365,Peter,2019,5/29/2019,3.5,0.49,22.87,NA,12.32,6.6,149,0.04,,2.408659969,526.8648779
